Transcriptomics_id,Trough,Frequency,Peak,Threshold,Ratio,Vrest,Cell Type,Subtype
SM-GE4RC_S079_E1-50,-48.2062492370605,0.703191489361703,26.7875003814697,-31.8125,1.75401213059955,-65.4798073401818,Pvalb interneuron,Pvalb Vipr2
SM-GE91I_S061_E1-50,-47.9375,0.119375,27.0625019073486,-34.7500038146973,3.74071868192267,-67.7094790140788,Lamp5 interneuron,Lamp5 Fam19a1 Tmem182
SM-GE5P3_S084_E1-50,-54.8250045776367,0.389655172413793,32.2749977111816,-36.7562522888184,1.95080206393199,-73.7414063673753,Sst interneuron,Sst Calb2 Necab1
SM-GE5TM_S152_E1-50,-57.34375,0.307142851771137,39.15625,-38.4687538146973,2.29951890262159,-74.8146209716797,Sst interneuron,Sst Tac2 Myh4
SM-GE4Q8_S072_E1-50,-53.5750007629395,0.365625,20.9312515258789,-38.5000038146973,2.36844396022965,-71.3234335581462,Sst interneuron,Sst Crhr2 Efemp1
SM-GE4Y5_S179_E1-50,-40.1812477111816,0.285000063705449,27.2999992370605,-28.3875007629394,3.71889684508682,-59.4456211090088,Lamp5 interneuron,Lamp5 Plch2 Dock5
SM-GE95N_S109_E1-50,-55.3937530517578,0.068103461634107,27.5625,-31.6250019073486,1.42550923501848,-74.4699037339952,Sst interneuron,Sst Mme Fam114a1
SM-GE5OW_S127_E1-50,-57.9562530517578,0.322413784581614,23.0687522888184,-45.7000007629395,2.02465224839669,-65.0393912575462,Sst interneuron,Sst Hpse Cbln4
SM-GE5TO_S180_E1-50,-55.8750038146973,0.666316639741519,27.875,-33.03125,1.46180711901566,-69.9468805649701,Pvalb interneuron,Pvalb Reln Tac1
SM-GE8YB_S075_E1-50,-42.9812507629395,0.12,44.1124992370605,-29.7625007629394,3.13419933304358,-70.146562576294,Vip interneuron,Vip Ptprt Pkp2
SM-GE643_S149_E1-50,-59.1562538146973,1.08749982039135,14.0,-33.1562538146973,1.58861896322854,-74.562474822998,Pvalb interneuron,Pvalb Akr1c18 Ntf3
SM-GE4QQ_S187_E1-50,-43.7500038146973,0.113709686574033,35.9187545776367,-36.3875045776367,3.26328995601582,-67.8657582600911,Vip interneuron,Vip Crispld2 Htr2c
SM-GE8XZ_S158_E1-50,-44.9874992370606,0.575,30.7999992370606,-34.7312545776367,3.56935860175236,-67.242823600769,Sncg interneuron,Serpinf1 Aqp5 Vip
SM-GE93P_S078_E1-50,-54.875,0.198604671161789,-6.65625047683716,-33.8125,2.75158797609847,-76.2688636779785,Lamp5 interneuron,Lamp5 Plch2 Dock5
SM-GE8XQ_S046_E1-50,-57.5187492370606,0.065,38.6000022888184,-36.7000045776367,1.77624505707281,-71.9475727081299,Sst interneuron,Sst Hpse Cbln4
SM-GE8XZ_S118_E1-50,-55.4437522888184,0.2,11.8937511444092,-43.6750030517578,2.07848200217151,-73.4203405380249,Sst interneuron,Sst Calb2 Pdlim5
SM-GE4QV_S015_E1-50,-58.3500022888184,1.28607878953648,9.03125,-34.6312484741211,1.2293152467213,-69.564894732307,Pvalb interneuron,Pvalb Gabrg1
SM-GE95M_S001_E1-50,-52.5999984741211,0.385000015068047,35.09375,-31.5187492370605,1.94258937837334,-71.1060285568237,Sst interneuron,Sst Crhr2 Efemp1
SM-GE95M_S011_E1-50,-60.3625030517578,0.093181818181818,18.0875015258789,-42.84375,1.50507091564514,-73.7965406938033,Sst interneuron,Sst Hpse Cbln4
SM-GE95N_S108_E1-50,-48.7250022888184,0.349137920885391,45.2937507629395,-38.9249992370605,3.15459555003788,-75.2972929212782,Vip interneuron,Vip Col15a1 Pde1a
SM-GE5VE_S019_E1-50,-54.6437492370606,0.435000013160698,40.7187538146973,-32.15625,2.05527716199565,-64.4853324890137,Sst interneuron,Sst Esm1
SM-GE8WR_S001_E1-50,-61.5312538146973,0.754285714285715,13.1562509536743,-40.4375,1.41884794534877,-66.7442542182075,Pvalb interneuron,Pvalb Reln Itm2a
SM-GE5QL_S184_E1-50,-51.4312515258789,0.361607142857143,29.8812522888184,-38.3437538146973,2.08314979026028,-69.6582495949485,Sst interneuron,Sst Hpse Cbln4
SM-GE8WR_S054_E1-50,-54.2812538146973,0.15926724209655,43.875,-41.5625,3.45054790567097,-73.7122596740723,Sst interneuron,Sst Tac2 Tacstd2
SM-GE5TM_S148_E1-50,-70.9687576293945,0.544256795264232,11.2187509536743,-59.0000038146973,2.13646236875527,-85.5686066945394,Sst interneuron,Sst Nts
SM-GE67K_S129_E1-50,-45.0625,0.188053113060066,12.9375009536743,-41.25,3.62605758560606,-77.0623001098633,Vip interneuron,Vip Ptprt Pkp2
SM-GE5P3_S028_E1-50,-27.087499618530277,0.3849999999999999,24.41250228881836,-23.062501907348636,3.549170280963663,-59.838059743245445,Vip interneuron,Vip Pygm C1ql1
SM-GE4QD_S043_E1-50,-45.3250045776367,0.5,25.7312507629394,-28.1437511444092,1.68404510850783,-57.4921970367432,Sst interneuron,Sst Crhr2 Efemp1
SM-GE5TS_S176_E1-50,-61.3750038146973,0.39953596287703,33.25,-36.21875,1.639758493718,-76.9173043568929,Sst interneuron,Sst Rxfp1 Eya1
SM-GE5PG_S067_E1-50,-47.7999992370606,0.321084328664023,30.6125011444092,-38.3937492370605,3.49013101327262,-62.4362749735514,Vip interneuron,Vip Ptprt Pkp2
SM-GE5VR_S100_E1-50,-49.7999992370606,0.396153846153846,19.5125007629395,-30.7999992370606,1.66515420860164,-62.6112764146593,Sst interneuron,Sst Calb2 Necab1
SM-GE5OG_S028_E1-50,-47.7500038146973,0.29,46.6250038146973,-36.2875022888184,2.24696765615234,-67.0807196299235,Sst interneuron,Sst Tac2 Tacstd2
SM-GE8YF_S091_E1-50,-38.3875045776367,-0.011936592894273,35.2625045776367,-34.1749992370606,4.4417824675687,-64.5370834752133,Vip interneuron,Vip Lmo1 Fam159b
SM-GE95A_S014_E1-50,-51.5000038146973,0.103231936711511,26.9687519073486,-29.7187519073486,4.18460158361568,-71.7494869232178,Lamp5 interneuron,Lamp5 Lsp1
SM-GE5OM_S058_E1-50,-46.1000022888184,0.364999993181228,34.0687484741211,-32.84375,3.18365122336961,-72.1628471374512,Vip interneuron,Vip Igfbp4 Mab21l1
SM-GE91V_S129_E1-50,-62.46875381469727,0.2107142808777946,29.625001907348636,-47.9375,2.1194929143076218,-78.45983534592848,Sst interneuron,Sst Hpse Sema3c
PS0830_E1-50_S83,-58.8125038146973,1.2273144443742,15.0000009536743,-35.5,1.14885792359251,-71.5711294638144,Pvalb interneuron,Pvalb Vipr2
SM-GE5PG_S001_E1-50,-65.9812469482422,1.93364495445238,15.6000003814697,-43.7437477111816,1.26161448033726,-71.2304061889649,Pvalb interneuron,Pvalb Gpr149 Islr
SM-GE5PG_S081_E1-50,-43.09999847412109,0.3461538395828345,11.02500057220459,-34.16875457763672,2.823346560310034,-56.528095538799576,Sncg interneuron,Sncg Vip Itih5
SM-GE5QE_S067_E1-50,-60.6437530517578,0.11999999923706,25.2562522888184,-47.8875045776367,1.97813155210701,-78.8734268188477,Sst interneuron,Sst Calb2 Pdlim5
SM-GE5V2_S082_E1-50,-47.6562538146973,0.368965521561828,26.4187488555908,-32.125,3.53870860661258,-50.4509506225586,Vip interneuron,Vip Pygm C1ql1
SM-GE94R_S169_E1-50,-43.875,0.037857143667766,15.78125,-35.71875,3.51706495053461,-69.1266894870334,Vip interneuron,Vip Arhgap36 Hmcn1
SM-GE5V2_S019_E1-50,-52.9375038146973,0.09,24.8999996185303,-43.7374992370606,2.21944969926103,-72.4133634567261,Sst interneuron,Sst Hpse Cbln4
SM-GE94H_S104_E1-50,-50.6250038146973,0.203571428571428,16.2500019073486,-35.03125,2.43596679907647,-78.6149090853604,Lamp5 interneuron,Lamp5 Plch2 Dock5
SM-GE8Y4_S169_E1-50,-53.1750030517578,0.158823534658621,16.3999996185303,-36.78125,1.83854940611533,-62.0370114644369,Sst interneuron,Sst Rxfp1 Prdm8
SM-GE93P_S085_E1-50,-61.2812538146973,0.856900040469445,10.5000009536743,-34.4375,1.18062559593325,-79.6614537556966,Pvalb interneuron,Pvalb Reln Itm2a
SM-GE4RN_S055_E1-50,-47.51875305175781,0.265,41.868751525878906,-39.11249923706055,2.517491474064878,-72.04802322387695,Sncg interneuron,Sncg Gpr50
SM-GE8XZ_S187_E1-50,-49.2312545776367,0.244736842105263,37.2000045776367,-35.5999984741211,2.2387097907119,-62.026540517807,Sst interneuron,Sst Chrna2 Glra3
SM-GE4QV_S027_E1-50,-51.2000007629395,0.682978511480487,20.7437496185303,-25.8312511444092,1.26641933949009,-70.2708727518718,Pvalb interneuron,Pvalb Reln Tac1
SM-GE91V_S158_E1-50,-53.03125,0.364285714285714,38.59375,-39.09375,3.0684515288761,-70.9731422424316,Vip interneuron,Vip Ptprt Pkp2
SM-GE4RC_S049_E1-50,-50.8875045776367,0.295,31.2687492370606,-40.0625038146973,2.01707087520965,-73.0206111027644,Sst interneuron,Sst Nr2f2 Necab1
SM-GE672_S030_E1-50,-54.0,0.0875,40.375,-44.3750038146973,2.31104618195873,-63.1171329498291,Sst interneuron,Sst Hpse Sema3c
SM-GE8ZX_S142_E1-50,-51.5000038146973,0.520714390299287,20.25,-32.15625,1.46128938271484,-69.5132871355329,Pvalb interneuron,Pvalb Tpbg
SM-GE8XW_S096_E1-50,-56.7312545776367,0.380769217141281,32.7000007629394,-42.7187538146973,2.45635974751244,-70.050600869315,Sst interneuron,Sst Rxfp1 Eya1
SM-GE4QF_S016_E1-50,-43.0437507629395,0.407894736842105,9.30000114440918,-30.8562507629394,2.2793873273029,-75.7537974039713,Sst interneuron,Sst Calb2 Pdlim5
SM-GE8YI_S077_E1-50,-48.71875,0.380127523910733,51.5625038146973,-26.84375,2.86196501208272,-57.1531011141264,Sst interneuron,Sst Esm1
SM-GE5U1_S174_E1-50,-39.70000076293945,0.3759259185529363,44.45000457763672,-31.243751525878903,4.057018376785431,-65.21526703467735,Vip interneuron,Vip Chat Htr1f
SM-GE937_S175_E1-50,-61.4062538146973,0.367142892658469,39.1250038146973,-46.34375,2.6223203405253,-72.5236801147461,Sst interneuron,Sst Crhr2 Efemp1
SM-GE64T_S127_E1-50,-50.5312538146973,0.574838700268891,0.625000059604645,-44.65625,2.20660865877703,-70.8669195175171,Sst interneuron,Sst Myh8 Fibin
SM-GE8XQ_S118_E1-50,-49.5000038146973,0.12,20.21875,-36.4937477111816,1.95752367949619,-65.4350090026856,Sst interneuron,Sst Mme Fam114a1
SM-GE4Y5_S128_E1-50,-46.7687492370605,0.153571451391493,22.6500015258789,-36.1187477111816,3.02554531654165,-67.3639684823843,Lamp5 interneuron,Lamp5 Fam19a1 Tmem182
SM-GE4QZ_S130_E1-50,-42.0000038146973,0.025233644859813,32.5125007629394,-39.0812492370605,3.3351952367745,-69.7856132507324,Vip interneuron,Vip Crispld2 Htr2c
SM-GE92Y_S017_E1-50,-60.28125381469727,1.154285714285714,20.8125,-37.12500381469727,1.4383355611220123,-76.44443893432617,Pvalb interneuron,Pvalb Akr1c18 Ntf3
SM-GE5U8_S015_E1-50,-47.4000015258789,1.30638258798607,29.7125015258789,-20.3812522888184,1.14534493339588,-61.0158760070801,Pvalb interneuron,Pvalb Sema3e Kank4
SM-GE5O8_S044_E1-50,-43.3250045776367,0.413157893130649,42.8562545776367,-38.7124977111816,4.89863514968061,-67.8521305431019,Sncg interneuron,Serpinf1 Aqp5 Vip
SM-GE4W2_S181_E1-50,-9.80000114440918,0.3797687694702082,20.131250381469727,-7.862499713897705,3.236373262294375,-34.38698697090149,Sncg interneuron,Sncg Gpr50
SM-J39W4_S180_E1-50,-48.1875,0.3157363784344467,26.375001907348636,-32.18124771118164,2.5812607255482343,-66.8769022623698,Sst interneuron,Sst Tac2 Myh4
SM-GE8YB_S045_E1-50,-46.0750007629395,0.060714284040489,34.8937530517578,-36.5250015258789,3.19253627406111,-75.2513936360677,Vip interneuron,Vip Ptprt Pkp2
SM-GE5TO_S168_E1-50,-48.1250038146973,0.8,21.1875019073486,-24.96875,1.26116995171586,-66.5459857516819,Pvalb interneuron,Pvalb Reln Itm2a
SM-GE8YK_S040_E1-50,-55.2187538146973,0.30428574087182,39.5625,-38.9375,2.03116618989024,-70.7910789489746,Sst interneuron,Sst Rxfp1 Prdm8
SM-GE93B_S088_E1-50,-56.2500038146973,0.218712973164547,18.6875019073486,-46.6250038146973,2.05782789121978,-71.3408889770508,Sst interneuron,Sst Myh8 Etv1 
SM-J39VK_S088_E1-50,-56.81874847412109,0.1050000032424906,36.94374847412109,-40.76250457763672,1.994934442522012,-64.45794885808772,Sst interneuron,Sst Crhr2 Efemp1
SM-GE8YZ_S169_E1-50,-47.0000038146973,0.475000093777987,40.21875,-27.3125,2.00241617397181,-62.8206195831299,Sst interneuron,Sst Rxfp1 Prdm8
SM-GE64F_S164_E1-50,-58.5937538146973,0.1625,17.875,-43.1875038146973,1.88860672126309,-65.0332696097238,Sst interneuron,Sst Hpse Cbln4
SM-GE5VJ_S045_E1-50,-45.5249977111816,0.214655183628818,37.6312522888184,-35.6437530517578,2.91368029796779,-67.985716925727,Vip interneuron,Vip Crispld2 Kcne4
SM-GE93V_S032_E1-50,-48.7500038146973,0.444999996876716,25.1562519073486,-38.6875,3.07113163438207,-66.6087106068929,Vip interneuron,Vip Arhgap36 Hmcn1
SM-GE94B_S180_E1-50,-54.93750381469727,0.4370689568621649,4.6875,-41.43750381469727,2.1882846024189577,-61.3770497639974,Sst interneuron,Sst Calb2 Pdlim5
SM-GE65O_S064_E1-50,-53.90625,0.836337203296063,12.7500009536743,-31.1250019073486,1.31340924900188,-72.5297880906325,Pvalb interneuron,Pvalb Reln Itm2a
SM-GE4S1_S147_E1-50,-40.3062477111816,0.16999999923706,47.7937545776367,-31.6187515258789,3.25414051910168,-66.3263893127441,Vip interneuron,Vip Col15a1 Pde1a
SM-GE94B_S125_E1-50,-55.0937538146973,0.150714285457376,17.90625,-33.28125,3.18014281959574,-77.7006691826715,Lamp5 interneuron,Lamp5 Lsp1
SM-GE8ZC_S140_E1-50,-59.4687538146973,0.15250000923276,16.3125,-58.5937538146973,2.28813781335909,-71.5131370544434,Sst interneuron,Sst Hpse Sema3c
SM-GE93P_S029_E1-50,-58.5000038146973,0.389374990665913,32.625,-43.1250038146973,2.10559077236157,-71.5490314259249,Sst interneuron,Sst Tac2 Tacstd2
SM-GE94J_S069_E1-50,-43.25000381469727,0.1228571428571429,22.281251907348636,-43.12500381469727,4.628703136352257,-63.449577755398224,Sncg interneuron,Sncg Vip Itih5
SM-GE4RN_S071_E1-50,-39.67499923706055,0.2299999999999999,20.149999618530277,-34.006248474121094,3.5616316824454035,-67.18967132568359,Vip interneuron,Vip Col15a1 Pde1a
SM-GE95A_S006_E1-50,-51.53125,0.272142857142857,20.7500019073486,-37.65625,2.89924550880143,-68.1642476862127,Lamp5 interneuron,Lamp5 Plch2 Dock5
SM-GE5OW_S138_E1-50,-55.8000030517578,0.378632469965878,28.9812488555908,-39.7937507629395,2.08392464302567,-68.4922849214994,Sst interneuron,Sst Calb2 Pdlim5
SM-GE5V9_S165_E1-50,-52.2187538146973,0.505,38.8875007629395,-48.5999984741211,3.53946764562218,-70.6141891479492,Vip interneuron,Vip Chat Htr1f
SM-GE5OW_S097_E1-50,-53.2437477111816,0.304310344827586,27.4375,-36.1937522888184,1.8421095250432,-62.8774712302468,Sst interneuron,Sst Calb2 Pdlim5
SM-GE92A_S092_E1-50,-56.71875,0.403304347826087,25.6875,-33.40625,1.71556079674457,-74.8563613891602,Sst interneuron,Sst Rxfp1 Prdm8
SM-GBMG3_S029_E1-50,-52.46249771118164,0.7800000000000002,21.987499237060547,-31.125001907348636,1.7573916281888455,-72.29802169799805,Lamp5 interneuron,Lamp5 Krt73
SM-GE672_S183_E1-50,-49.4062538146973,0.300352170308944,17.0,-36.125,1.69903235308,-69.5542831420898,Pvalb interneuron,Pvalb Vipr2
SM-GE8X4_S103_E1-50,-54.5000038146973,0.096489104116223,24.5625,-34.3125,4.31878551594625,-73.2310791015625,Lamp5 interneuron,Lamp5 Lsp1
SM-GE66Q_S041_E1-50,-46.1250038146973,0.005,12.0625,-38.6875,2.9859477702345,-70.4202187856039,Vip interneuron,Vip Rspo4 Rxfp1 Chat
SM-GE8XQ_S053_E1-50,-54.2687530517578,0.534146330570761,27.2312507629394,-36.9125022888184,2.56987948044986,-64.6266929626465,Sst interneuron,Sst Esm1
SM-GE63H_S156_E1-50,-54.6562538146973,0.55,12.5625,-30.8437519073486,1.68241945553663,-79.4150076972114,Pvalb interneuron,Pvalb Tpbg
SM-GE65D_S173_E1-50,-49.1562538146973,0.275369440234391,30.1562519073486,-35.65625,3.75201004317224,-75.3228581746419,Lamp5 interneuron,Lamp5 Plch2 Dock5
SM-GE4RV_S154_E1-50,-41.4000015258789,0.345,54.5687522888184,-37.8687477111816,4.66407476594501,-66.1860786437988,Sncg interneuron,Sncg Vip Itih5
SM-GE5OW_S161_E1-50,-51.7375030517578,0.139655167560371,32.5562515258789,-37.6937484741211,2.21310191536767,-69.8609376387163,Sst interneuron,Sst Crhr2 Efemp1
SM-GE8XZ_S153_E1-50,-36.9187507629395,0.302941178219536,3.20000004768372,-35.4375038146973,3.41758859633327,-68.436637878418,Vip interneuron,Vip Chat Htr1f
SM-J39TJ_S270_E1-50,-49.125,0.250529495258481,37.25,-37.93124771118164,2.728869054169621,-61.51687802766499,Sncg interneuron,Sncg Gpr50
SM-GE94J_S051_E1-50,-61.4375038146973,0.819021739130434,27.5000019073486,-41.0,1.35516727750996,-66.1270614624023,Pvalb interneuron,Pvalb Akr1c18 Ntf3
SM-GE8X4_S115_E1-50,-66.3125076293945,0.952155172413793,32.2500038146973,-47.78125,1.21164695652995,-69.6151336669922,Pvalb interneuron,Pvalb Sema3e Kank4
SM-GE5VE_S032_E1-50,-53.2750015258789,0.41,32.2875022888184,-36.8999977111816,2.26597957335341,-65.0558795928955,Sst interneuron,Sst Calb2 Pdlim5
SM-GE5W2_S011_E1-50,-54.8062515258789,0.488785046728972,23.4125022888184,-31.6749992370605,1.25506784430547,-69.5901237487793,Pvalb interneuron,Pvalb Sema3e Kank4
SM-GE5PG_S094_E1-50,-40.88750076293945,0.5220588113197385,25.312501907348636,-24.700000762939453,1.9846419552002368,-55.096867994828656,Sst interneuron,Sst Calb2 Pdlim5
SM-GE4RI_S183_E1-50,-56.4312477111816,0.624999910354573,15.0625009536743,-37.2437515258789,1.71701924725035,-78.5484375,Pvalb interneuron,Pvalb Tpbg
SM-GE5TM_S190_E1-50,-56.5937538146973,0.975000114440731,15.1875009536743,-35.875,1.38999107666769,-69.9764604568481,Pvalb interneuron,Pvalb Reln Itm2a
SM-GE5U8_S013_E1-50,-49.4749984741211,0.095,26.2999992370605,-35.6125030517578,1.8436676730772,-66.4324890136719,Sst interneuron,Sst Hpse Cbln4
SM-GE67B_S146_E1-50,-51.81250381469727,0.5555263157894738,23.031251907348636,-30.875001907348636,1.5734301187007569,-63.6721735867587,Pvalb interneuron,Pvalb Vipr2
SM-GE95A_S086_E1-50,-49.9687538146973,0.171511627906977,46.5,-45.0625,3.05314787970093,-70.0230438232422,Vip interneuron,Vip Rspo4 Rxfp1 Chat
SM-GE5VJ_S081_E1-50,-53.1875,0.5550000220298681,27.868751525878903,-31.89375305175781,2.3239180420010985,-56.96581353081597,Sst interneuron,Sst Esm1
SM-GE63O_S034_E1-50,-38.1562538146973,0.06764705882353,44.65625,-28.59375,3.1989672898237,-64.7813004203465,Vip interneuron,Vip Lect1 Oxtr
SM-GE5TI_S191_E1-50,-56.1250038146973,1.09568970962589,32.7500038146973,-26.5312519073486,1.35656911874827,-69.8018296559652,Pvalb interneuron,Pvalb Tpbg
SM-GE4Q8_S094_E1-50,-52.6062545776367,0.265000009727473,44.5999984741211,-43.6500015258789,2.54082866982265,-69.2680380079481,Sst interneuron,Sst Tac2 Tacstd2
SM-GE4S3_S127_E1-50,-61.1187515258789,0.262931034482759,32.8312530517578,-42.3125038146973,1.97937677091287,-72.1784113103693,Sst interneuron,Sst Crh 4930553C11Rik 
SM-GE4QQ_S174_E1-50,-49.5250015258789,0.513235284828395,41.1437530517578,-36.1312522888184,2.7653389853322,-74.6922926469283,Vip interneuron,Vip Gpc3 Slc18a3
SM-GE5V9_S181_E1-50,-40.6499977111816,0.399999992370604,9.85624980926514,-28.8812522888184,2.04676661347436,-68.151368882921,Sst interneuron,Sst Calb2 Pdlim5
